Zip Code,Number of Returns,Adjusted gross income (AGI)
17266,  304 ,"  12,638 "
17267,"  1,312 ","  52,319 "
17268,"  13,442 ","  616,657 "
17301,"  2,089 ","  101,688 "
17302,"  1,344 ","  62,127 "
17303,  398 ,"  17,171 "
17304,"  1,273 ","  57,215 "
17306,  366 ,"  14,854 "
17307,"  2,663 ","  116,248 "
17309,"  1,003 ","  45,096 "
17313,"  5,272 ","  258,997 "
17314,"  2,680 ","  133,111 "
17315,"  12,722 ","  586,863 "
17316,"  4,009 ","  215,403 "
17317,  269 ,"  10,138 "
17318,  250 ,"  9,245 "
17319,"  5,395 ","  292,045 "
17320,"  3,949 ","  209,482 "
17321,"  1,100 ","  62,213 "
17322,"  2,940 ","  147,011 "
17324,"  2,238 ","  98,286 "
17325,"  12,911 ","  659,026 "
17327,"  3,790 ","  201,873 "
17329,"  1,352 ","  77,857 "
17331,"  26,144 ","  1,333,830 "
17339,"  3,563 ","  234,317 "
17340,"  5,377 ","  263,180 "
17344,"  1,810 ","  68,146 "
17345,"  3,916 ","  163,866 "
17347,"  2,876 ","  158,716 "
17349,"  3,989 ","  268,463 "
17350,"  6,359 ","  285,208 "
17352,  631 ,"  33,726 "
17353,"  1,542 ","  74,835 "
17356,"  10,994 ","  539,506 "
17360,"  2,579 ","  153,450 "
17361,"  2,791 ","  166,097 "
17362,"  6,712 ","  352,634 "
17363,"  4,556 ","  278,911 "
17364,"  1,969 ","  83,941 "
17365,"  1,311 ","  68,653 "
17366,"  2,675 ","  112,320 "
17368,"  3,754 ","  202,746 "
17370,"  2,868 ","  133,985 "
17372,"  1,931 ","  97,457 "
17401,"  7,530 ","  166,354 "
17402,"  16,861 ","  988,418 "
17403,"  17,877 ","  1,013,573 "
17404,"  17,996 ","  906,017 "
17405,  316 ,"  48,245 "
17406,"  11,350 ","  627,185 "
17407,"  1,043 ","  62,771 "
17408,"  10,918 ","  580,063 "
17501,"  2,291 ","  101,769 "
17502,"  1,238 ","  60,286 "
17505,  781 ,"  40,298 "
17506,  255 ,"  12,034 "
