PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
16141,"$1 under $25,000",355,4480
16141,"$25,000 under $50,000",206,7623
16141,"$50,000 under $75,000",145,8934
16141,"$75,000 under $100,000",77,6644
16141,"$100,000 under $200,000",55,12140
16141,"$200,000 or more",**,**
,,,
16142,,2422,"132,445"
16142,"$1 under $25,000",985,11688
16142,"$25,000 under $50,000",583,21299
16142,"$50,000 under $75,000",337,20834
16142,"$75,000 under $100,000",219,19001
16142,"$100,000 under $200,000",238,30706
16142,"$200,000 or more",** 60,"** 28,917"
,,,
16143,,"1,311","58,040"
16143,"$1 under $25,000",565,6875
16143,"$25,000 under $50,000",312,11404
16143,"$50,000 under $75,000",213,13199
16143,"$75,000 under $100,000",124,10728
16143,"$100,000 under $200,000",97,15834
16143,"$200,000 or more",**,**
,,,
16145,,"1,228","51,861"
16145,"$1 under $25,000",521,6203
16145,"$25,000 under $50,000",318,11287
16145,"$50,000 under $75,000",208,12903
16145,"$75,000 under $100,000",101,8723
16145,"$100,000 under $200,000",80,12745
16145,"$200,000 or more",**,**
,,,
16146,,"5,902","199,244"
16146,"$1 under $25,000",3272,38201
16146,"$25,000 under $50,000",1436,50902
16146,"$50,000 under $75,000",668,40430
16146,"$75,000 under $100,000",282,24138
16146,"$100,000 under $200,000",193,24543
16146,"$200,000 or more",** 51,"** 21,030"
,,,
16148,,"8,625","479,013"
16148,"$1 under $25,000",3732,41465
16148,"$25,000 under $50,000",1938,70600
16148,"$50,000 under $75,000",1245,76946
16148,"$75,000 under $100,000",781,67071
16148,"$100,000 under $200,000",710,93212
16148,"$200,000 or more",219,129719
,,,
16150,,"3,655","161,215"
16150,"$1 under $25,000",1587,18272
16150,"$25,000 under $50,000",870,31518
16150,"$50,000 under $75,000",574,35227
16150,"$75,000 under $100,000",324,27935
16150,"$100,000 under $200,000",252,31776
16150,"$200,000 or more",48,16487
,,,
16153,,"1,229","52,473"
16153,"$1 under $25,000",507,6054
16153,"$25,000 under $50,000",319,11671
16153,"$50,000 under $75,000",220,13541
16153,"$75,000 under $100,000",107,9135
16153,"$100,000 under $200,000",76,12072
16153,"$200,000 or more",**,**
,,,
16154,,"1,314","58,328"
16154,"$1 under $25,000",576,6509
16154,"$25,000 under $50,000",336,12377
16154,"$50,000 under $75,000",194,11750
16154,"$75,000 under $100,000",115,9992
16154,"$100,000 under $200,000",93,17700
16154,"$200,000 or more",**,**
,,,
16156,,"1,490","70,178"
16156,"$1 under $25,000",614,7348
16156,"$25,000 under $50,000",374,13572
16156,"$50,000 under $75,000",246,15160
16156,"$75,000 under $100,000",133,11443
16156,"$100,000 under $200,000",97,11904
16156,"$200,000 or more",** 26,"** 10,751"
,,,
16157,,"1,690","70,440"
16157,"$1 under $25,000",720,8578
16157,"$25,000 under $50,000",415,15052
16157,"$50,000 under $75,000",285,17640
16157,"$75,000 under $100,000",160,13743
16157,"$100,000 under $200,000",110,15427
16157,"$200,000 or more",**,**
,,,
16159,,"2,344","105,378"
16159,"$1 under $25,000",973,11531
16159,"$25,000 under $50,000",580,21451
16159,"$50,000 under $75,000",396,24224
16159,"$75,000 under $100,000",213,18311
16159,"$100,000 under $200,000",153,19250
16159,"$200,000 or more",** 29,"** 10,611"
,,,
16201,,"8,258","663,077"
16201,"$1 under $25,000",3521,41584
16201,"$25,000 under $50,000",2014,72996
16201,"$50,000 under $75,000",1298,80137
16201,"$75,000 under $100,000",717,61916
16201,"$100,000 under $200,000",606,77695
16201,"$200,000 or more",102,328749
,,,
16210,,433,"16,539"
16210,"$1 under $25,000",184,2197
16210,"$25,000 under $50,000",128,4687
16210,"$50,000 under $75,000",64,3946
16210,"$75,000 under $100,000",31,2681
16210,"$100,000 under $200,000",26,3028
16210,"$200,000 or more",**,**
,,,
16214,,3216,"168,955"
16214,"$1 under $25,000",1434,16387
16214,"$25,000 under $50,000",728,26512
16214,"$50,000 under $75,000",433,26468
16214,"$75,000 under $100,000",238,20781
16214,"$100,000 under $200,000",295,38527
16214,"$200,000 or more",** 88,"** 40,280"
,,,
16218,,494,"77,420"
16218,"$1 under $25,000",184,2227
16218,"$25,000 under $50,000",129,4553
16218,"$50,000 under $75,000",92,5638
16218,"$75,000 under $100,000",46,3930
16218,"$100,000 under $200,000",43,61072
16218,"$200,000 or more",**,**
,,,
16222,,1060,"46,422"
16222,"$1 under $25,000",444,5464
16222,"$25,000 under $50,000",275,10165
16222,"$50,000 under $75,000",168,10314
16222,"$75,000 under $100,000",94,8016
16222,"$100,000 under $200,000",79,12463
16222,"$200,000 or more",**,**
,,,
16224,,514,"22,360"
16224,"$1 under $25,000",210,2643
16224,"$25,000 under $50,000",138,4982
16224,"$50,000 under $75,000",88,5384
16224,"$75,000 under $100,000",44,3842
16224,"$100,000 under $200,000",34,5509
16224,"$200,000 or more",**,**
,,,
16226,,3990,"158,797"
16226,"$1 under $25,000",1771,20975
16226,"$25,000 under $50,000",1082,38828
16226,"$50,000 under $75,000",569,34940
16226,"$75,000 under $100,000",315,26899
16226,"$100,000 under $200,000",223,27777
16226,"$200,000 or more",** 30,"** 9,378"
,,,
16228,,190,"6,875"
16228,"$1 under $25,000",79,978
16228,"$25,000 under $50,000",56,2009
16228,"$50,000 under $75,000",55,3888
16228,"$75,000 under $100,000",**,**
16228,"$100,000 under $200,000",**,**
16228,"$200,000 or more",0,0
,,,
16229,,2640,"152,932"
16229,"$1 under $25,000",979,11360
16229,"$25,000 under $50,000",633,22989
16229,"$50,000 under $75,000",432,26929
16229,"$75,000 under $100,000",** 263,"** 22,722"
16229,"$100,000 under $200,000",** 278,"** 36,030"
16229,"$200,000 or more",55,32902
,,,
16232,,"2,009","84,309"
16232,"$1 under $25,000",924,11537
16232,"$25,000 under $50,000",509,18270
16232,"$50,000 under $75,000",295,18262
16232,"$75,000 under $100,000",137,11655
16232,"$100,000 under $200,000",123,15894
16232,"$200,000 or more",21,8691
,,,
16233,,517,"24,072"
16233,"$1 under $25,000",221,2596
16233,"$25,000 under $50,000",122,4487
16233,"$50,000 under $75,000",86,5208
16233,"$75,000 under $100,000",47,4082
16233,"$100,000 under $200,000",41,7699
16233,"$200,000 or more",**,**
,,,
16235,,615,"39,508"
16235,"$1 under $25,000",235,2937
16235,"$25,000 under $50,000",144,5302
16235,"$50,000 under $75,000",113,6924
16235,"$75,000 under $100,000",58,4946
16235,"$100,000 under $200,000",44,6051
16235,"$200,000 or more",** 21,"** 13,348"
,,,
16239,,768,"28,426"
16239,"$1 under $25,000",351,4045
16239,"$25,000 under $50,000",215,7938
16239,"$50,000 under $75,000",127,7725
16239,"$75,000 under $100,000",36,3149
16239,"$100,000 under $200,000",39,5569
16239,"$200,000 or more",**,**
,,,
16240,,703,"29,431"
16240,"$1 under $25,000",312,3617
16240,"$25,000 under $50,000",197,7079
16240,"$50,000 under $75,000",91,5587
16240,"$75,000 under $100,000",59,5057
16240,"$100,000 under $200,000",44,8091
16240,"$200,000 or more",**,**
,,,
16242,,1975,"227,967"
16242,"$1 under $25,000",833,9753
16242,"$25,000 under $50,000",521,19019
16242,"$50,000 under $75,000",310,19057
16242,"$75,000 under $100,000",181,15552
16242,"$100,000 under $200,000",109,13787
16242,"$200,000 or more",** 21,"** 150,799"
,,,
16248,,"1,468","52,985"
16248,"$1 under $25,000",709,8548
16248,"$25,000 under $50,000",407,14849
16248,"$50,000 under $75,000",201,12243
16248,"$75,000 under $100,000",82,7055
16248,"$100,000 under $200,000",69,10290
16248,"$200,000 or more",**,**
,,,
16249,,989,"43,165"
16249,"$1 under $25,000",411,4844
16249,"$25,000 under $50,000",232,8327
16249,"$50,000 under $75,000",184,11339
16249,"$75,000 under $100,000",81,7012
16249,"$100,000 under $200,000",81,11643
16249,"$200,000 or more",**,**
,,,
16254,,"1,550","82,383"
16254,"$1 under $25,000",622,7402
16254,"$25,000 under $50,000",373,13483
16254,"$50,000 under $75,000",237,14675
16254,"$75,000 under $100,000",132,11430
16254,"$100,000 under $200,000",142,18559
16254,"$200,000 or more",** 44,"** 16,834"
,,,
16255,,856,"34,305"
16255,"$1 under $25,000",387,4691
16255,"$25,000 under $50,000",217,7897
16255,"$50,000 under $75,000",133,8122
16255,"$75,000 under $100,000",70,6090
16255,"$100,000 under $200,000",49,7505
16255,"$200,000 or more",**,**
,,,
16256,,584,"21,221"
16256,"$1 under $25,000",339,4162
16256,"$25,000 under $50,000",144,4922
16256,"$50,000 under $75,000",53,3255
16256,"$75,000 under $100,000",23,1982
16256,"$100,000 under $200,000",25,6900
16256,"$200,000 or more",**,**
,,,
16258,,867,"30,410"
16258,"$1 under $25,000",427,5225
16258,"$25,000 under $50,000",228,8037
16258,"$50,000 under $75,000",123,7392
16258,"$75,000 under $100,000",51,4356
16258,"$100,000 under $200,000",38,5400
16258,"$200,000 or more",**,**
,,,
16259,,862,"35,401"
16259,"$1 under $25,000",352,4276
16259,"$25,000 under $50,000",235,8486
16259,"$50,000 under $75,000",162,9877
16259,"$75,000 under $100,000",71,6017
16259,"$100,000 under $200,000",42,6745
16259,"$200,000 or more",**,**
,,,
16260,,118,"4,173"
16260,"$1 under $25,000",62,674
16260,"$25,000 under $50,000",56,3499
16260,"$50,000 under $75,000",**,**
16260,"$75,000 under $100,000",**,**
16260,"$100,000 under $200,000",**,**
16260,"$200,000 or more",**,**
,,,
16262,,1286,"61,538"
16262,"$1 under $25,000",468,5590
16262,"$25,000 under $50,000",359,13142
16262,"$50,000 under $75,000",209,12969
16262,"$75,000 under $100,000",** 131,"** 11,337"
16262,"$100,000 under $200,000",** 119,"** 18,500"
16262,"$200,000 or more",**,**
,,,
16301,,"7,359","287,234"
16301,"$1 under $25,000",3654,42022
16301,"$25,000 under $50,000",1746,62934
16301,"$50,000 under $75,000",1038,63272
16301,"$75,000 under $100,000",528,44976
16301,"$100,000 under $200,000",327,41300
16301,"$200,000 or more",** 66,"** 32,730"
,,,
16311,,227,"8,716"
16311,"$1 under $25,000",91,1230
16311,"$25,000 under $50,000",77,2867
16311,"$50,000 under $75,000",59,4619
16311,"$75,000 under $100,000",**,**
16311,"$100,000 under $200,000",**,**
16311,"$200,000 or more",**,**
,,,
16313,,925,"35,582"
16313,"$1 under $25,000",442,5416
16313,"$25,000 under $50,000",249,8882
16313,"$50,000 under $75,000",128,7704
16313,"$75,000 under $100,000",** 70,"** 6,032"
16313,"$100,000 under $200,000",** 36,"** 7,548"
16313,"$200,000 or more",**,**
,,,
16314,,2610,"107,659"
16314,"$1 under $25,000",1108,13478
16314,"$25,000 under $50,000",712,25453
16314,"$50,000 under $75,000",427,26337
16314,"$75,000 under $100,000",224,19092
16314,"$100,000 under $200,000",139,23299
16314,"$200,000 or more",**,**
,,,
16316,,"2,709","125,358"
16316,"$1 under $25,000",1183,13887
16316,"$25,000 under $50,000",679,24923
16316,"$50,000 under $75,000",398,24404
16316,"$75,000 under $100,000",227,19580
16316,"$100,000 under $200,000",168,21195
16316,"$200,000 or more",54,21369
,,,
16317,,722,"27,879"
16317,"$1 under $25,000",284,3300
16317,"$25,000 under $50,000",209,7634
16317,"$50,000 under $75,000",143,8828
16317,"$75,000 under $100,000",58,4869
16317,"$100,000 under $200,000",28,3248
16317,"$200,000 or more",**,**
,,,
16319,,686,"33,309"
16319,"$1 under $25,000",286,3313
16319,"$25,000 under $50,000",175,6309
16319,"$50,000 under $75,000",103,6232
16319,"$75,000 under $100,000",66,5774
16319,"$100,000 under $200,000",56,11681
16319,"$200,000 or more",**,**
,,,
16323,,7566,"326,592"
16323,"$1 under $25,000",3441,40226
16323,"$25,000 under $50,000",1834,66049
16323,"$50,000 under $75,000",1158,70892
16323,"$75,000 under $100,000",610,52454
16323,"$100,000 under $200,000",423,53236
16323,"$200,000 or more",** 100,"** 43,735"
,,,
16326,,208,"11,667"
16326,"$1 under $25,000",82,1044
16326,"$25,000 under $50,000",52,1941
16326,"$50,000 under $75,000",49,3468
16326,"$75,000 under $100,000",**,**
16326,"$100,000 under $200,000",25,5214
16326,"$200,000 or more",**,**
,,,
16327,,1202,"49,811"
16327,"$1 under $25,000",524,6560
16327,"$25,000 under $50,000",323,11737
16327,"$50,000 under $75,000",201,12336
16327,"$75,000 under $100,000",** 82,"** 6,984"
16327,"$100,000 under $200,000",72,12194
16327,"$200,000 or more",**,**
,,,
16329,,248,"8,734"
16329,"$1 under $25,000",115,1419
16329,"$25,000 under $50,000",72,2675
16329,"$50,000 under $75,000",34,2135
16329,"$75,000 under $100,000",27,2505
16329,"$100,000 under $200,000",**,**
16329,"$200,000 or more",**,**
,,,
16334,,204,"11,937"
16334,"$1 under $25,000",67,767
16334,"$25,000 under $50,000",45,1670
16334,"$50,000 under $75,000",45,2815
16334,"$75,000 under $100,000",47,6685
16334,"$100,000 under $200,000",**,**
16334,"$200,000 or more",**,**
,,,
16335,,12517,"566,782"
16335,"$1 under $25,000",5831,67549
16335,"$25,000 under $50,000",3079,110674
16335,"$50,000 under $75,000",1694,104407
16335,"$75,000 under $100,000",** 914,"** 78,730"
16335,"$100,000 under $200,000",767,98705
16335,"$200,000 or more",** 232,"** 106,717"
,,,
16340,,873,"32,559"
16340,"$1 under $25,000",404,4956
16340,"$25,000 under $50,000",224,8030
16340,"$50,000 under $75,000",157,9752
16340,"$75,000 under $100,000",52,4379
16340,"$100,000 under $200,000",36,5442
16340,"$200,000 or more",**,**
,,,
16341,,952,"38,974"
16341,"$1 under $25,000",376,4694
16341,"$25,000 under $50,000",296,10727
16341,"$50,000 under $75,000",163,9979
16341,"$75,000 under $100,000",70,6075
16341,"$100,000 under $200,000",47,7499
16341,"$200,000 or more",**,**
,,,
16342,,1211,"41,444"
16342,"$1 under $25,000",602,4727
16342,"$25,000 under $50,000",291,10523
16342,"$50,000 under $75,000",186,11505
16342,"$75,000 under $100,000",88,7472
16342,"$100,000 under $200,000",44,7217
16342,"$200,000 or more",**,**
,,,
16345,,"1,802","96,824"
16345,"$1 under $25,000",670,7942
16345,"$25,000 under $50,000",434,15909
16345,"$50,000 under $75,000",314,19480
16345,"$75,000 under $100,000",204,17514
16345,"$100,000 under $200,000",143,18459
16345,"$200,000 or more",** 37,"** 17,520"
,,,
16346,,"1,458","60,841"
16346,"$1 under $25,000",632,7744
16346,"$25,000 under $50,000",369,13449
16346,"$50,000 under $75,000",220,13585
16346,"$75,000 under $100,000",142,12192
16346,"$100,000 under $200,000",95,13871
16346,"$200,000 or more",**,**
,,,
16347,,"1,065","40,961"
16347,"$1 under $25,000",512,6015
16347,"$25,000 under $50,000",277,9908
16347,"$50,000 under $75,000",155,9626
16347,"$75,000 under $100,000",77,6614
16347,"$100,000 under $200,000",44,8798
16347,"$200,000 or more",**,**
,,,
16350,,"1,128","44,026"
16350,"$1 under $25,000",516,6366
16350,"$25,000 under $50,000",308,11077
16350,"$50,000 under $75,000",168,10191
16350,"$75,000 under $100,000",80,6840
16350,"$100,000 under $200,000",56,9552
16350,"$200,000 or more",**,**
,,,
16351,,784,"26,486"
16351,"$1 under $25,000",375,4666
16351,"$25,000 under $50,000",226,8060
16351,"$50,000 under $75,000",119,7197
16351,"$75,000 under $100,000",64,6563
16351,"$100,000 under $200,000",**,**
16351,"$200,000 or more",**,**
,,,
16353,,1325,"49,461"
16353,"$1 under $25,000",643,7692
16353,"$25,000 under $50,000",363,13197
16353,"$50,000 under $75,000",184,11288
16353,"$75,000 under $100,000",74,6290
16353,"$100,000 under $200,000",61,10994
16353,"$200,000 or more",**,**
,,,
16354,,"4,741","189,800"
16354,"$1 under $25,000",2321,27292
16354,"$25,000 under $50,000",1178,42517
16354,"$50,000 under $75,000",653,40007
16354,"$75,000 under $100,000",316,27164
16354,"$100,000 under $200,000",229,28713
16354,"$200,000 or more",** 44,"** 24,107"
,,,
16360,,581,"23,883"
16360,"$1 under $25,000",246,2823
16360,"$25,000 under $50,000",152,5544
16360,"$50,000 under $75,000",107,6641
16360,"$75,000 under $100,000",44,3692
16360,"$100,000 under $200,000",32,5183
16360,"$200,000 or more",**,**
,,,
16362,,524,"19,795"
16362,"$1 under $25,000",228,2847
16362,"$25,000 under $50,000",149,5450
16362,"$50,000 under $75,000",87,5427
16362,"$75,000 under $100,000",60,6071
16362,"$100,000 under $200,000",**,**
16362,"$200,000 or more",**,**
,,,
16364,,520,"24,374"
16364,"$1 under $25,000",213,2601
16364,"$25,000 under $50,000",116,4062
16364,"$50,000 under $75,000",95,5694
16364,"$75,000 under $100,000",58,4958
16364,"$100,000 under $200,000",38,7059
16364,"$200,000 or more",**,**
,,,
16365,,9170,"416,328"
16365,"$1 under $25,000",4213,49192
16365,"$25,000 under $50,000",2237,80655
16365,"$50,000 under $75,000",1360,83664
16365,"$75,000 under $100,000",696,59280
16365,"$100,000 under $200,000",516,66281
16365,"$200,000 or more",** 148,"** 77,256"
,,,
16371,,"1,503","56,601"
16371,"$1 under $25,000",685,8237
16371,"$25,000 under $50,000",406,14674
16371,"$50,000 under $75,000",232,14278
16371,"$75,000 under $100,000",109,9272
16371,"$100,000 under $200,000",71,10140
16371,"$200,000 or more",**,**
,,,
16373,,"1,536","65,615"
16373,"$1 under $25,000",643,8240
16373,"$25,000 under $50,000",442,16011
16373,"$50,000 under $75,000",232,14319
16373,"$75,000 under $100,000",126,10745
16373,"$100,000 under $200,000",93,16300
16373,"$200,000 or more",**,**
,,,
16374,,848,"35,460"
16374,"$1 under $25,000",367,4217
16374,"$25,000 under $50,000",217,7943
16374,"$50,000 under $75,000",149,9161
16374,"$75,000 under $100,000",60,5095
16374,"$100,000 under $200,000",55,9044
16374,"$200,000 or more",**,**
,,,
16401,,2059,"75,739"
16401,"$1 under $25,000",948,11312
16401,"$25,000 under $50,000",564,20592
16401,"$50,000 under $75,000",328,20338
16401,"$75,000 under $100,000",133,11385
16401,"$100,000 under $200,000",86,12112
16401,"$200,000 or more",**,**
,,,
16402,,342,"12,677"
16402,"$1 under $25,000",157,2031
16402,"$25,000 under $50,000",89,3227
16402,"$50,000 under $75,000",52,3105
16402,"$75,000 under $100,000",44,4314
16402,"$100,000 under $200,000",**,**
16402,"$200,000 or more",**,**
,,,
16403,,2634,"110,612"
16403,"$1 under $25,000",1083,12791
16403,"$25,000 under $50,000",671,24584
16403,"$50,000 under $75,000",491,30118
16403,"$75,000 under $100,000",229,19628
16403,"$100,000 under $200,000",160,23491
16403,"$200,000 or more",**,**
,,,
16404,,"1,327","47,357"
16404,"$1 under $25,000",612,7440
16404,"$25,000 under $50,000",386,14018
16404,"$50,000 under $75,000",202,12390
16404,"$75,000 under $100,000",83,7133
16404,"$100,000 under $200,000",44,6376
16404,"$200,000 or more",**,**
,,,
16405,,360,"12,378"
16405,"$1 under $25,000",173,2226
16405,"$25,000 under $50,000",95,3485
16405,"$50,000 under $75,000",60,3713
16405,"$75,000 under $100,000",32,2954
16405,"$100,000 under $200,000",**,**
16405,"$200,000 or more",**,**
,,,
16406,,1482,"56,378"
16406,"$1 under $25,000",648,7540
16406,"$25,000 under $50,000",435,15967
16406,"$50,000 under $75,000",204,12611
16406,"$75,000 under $100,000",124,10589
16406,"$100,000 under $200,000",** 71,"** 9,671"
16406,"$200,000 or more",**,**
,,,
16407,,"4,857","185,885"
16407,"$1 under $25,000",2451,28234
16407,"$25,000 under $50,000",1158,41669
16407,"$50,000 under $75,000",675,41284
16407,"$75,000 under $100,000",333,28394
16407,"$100,000 under $200,000",198,24596
16407,"$200,000 or more",** 42,"** 21,708"
,,,
16410,,897,"37,300"
16410,"$1 under $25,000",398,4889
16410,"$25,000 under $50,000",214,7951
